CO,Module,Topics
"CO2, CO4, CO6",Module 1: Introduction,"Introduction, Role of Software Engineer, Software Components, Software Characteristics, Software Crisis, Software Engineering Processes, Similarity and Differences from Conventional Engineering Processes, Quality Attributes"
"CO1, CO4, CO5, CO6",Module 2: Software Development Life Cycle (SDLC) Models,"Assessment, How Software Engineering Changes?, Software Development Life Cycle (SDLC) Models: Water Fall Model, Prototype Model, Spiral Model, Evolutionary Development Models, Iterative Enhancement Models, Choosing a social relevant problem, Summary Team Report"
"CO4, CO6",Module 3: Requirement Engineering Process,"Requirement Engineering Process, Elicitation, Analysis, Documentation, Review and Management of User Needs, Feasibility Study, Information Modeling, Data Flow Diagrams, Entity Relationship Diagrams, Designing the architecture"
"CO4, CO5, CO6",Module 4: Requirement Engineering Impact & Design,"Assessment, Impact of Requirement Engineering in their problem, Decision Tables, SRS Document, IEEE Standards for SRS, Architectural design, component level design, User interface design, WebApp Design, Submission of SRS Document for Team Project"
"CO2, CO4, CO6","Module 5: Quality Concepts, Review Techniques, Software Quality Assurance (SQA)","Quality concepts, Review Techniques, Software Quality Assurance (SQA), Verification and Validation, SQA Plans, Software Quality Frameworks"
"CO2, CO3, CO4",Module 6: SQA Plan & Models,"Assessment, Framing SQA Plan, ISO 9000 Models, SEI-CMM Model and Their relevance to project Management, Other emerging models like People CMM"
"CO2, CO4, CO5, CO6",Module 7: Testing,"Testing Objectives, Unit Testing, Integration Testing, Acceptance Testing, Regression Testing, Testing for Functionality and Testing for Performance, Top-Down and Bottom-Up Testing, Software Testing Strategies, Strategies: Test Drivers and Test Stubs, Structural Testing (White Box Testing), Functional Testing (Black Box Testing), Testing conventional applications, Object oriented applications, Web applications, Formal modeling and Verification, Software configuration management, Product metrics, Team Analysis in Metrics Calculation"
"CO3, CO4, CO5",Module 8: Project Management Concepts,"Project Management Concepts, Process and Project Metrics, Estimation for Software projects, Project Scheduling, Risk Management, Maintenance and Re-engineering, Preparation of Risk mitigation plan"
